Protein	Protein ID	Entry Name	Gene	Length	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	sample-01	sample-02	sample-03	sample-04	sample-05	sample-06	sample-07	sample-08	sample-09	sample-10	sample-11	sample-12	sample-13	sample-14	sample-15	sample-16
sp|P61221|ABCE1_HUMAN	P61221	ABCE1_HUMAN	ABCE1	599	Homo sapiens OX=9606	ATP-binding cassette sub-family E member 1 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	2683109	2683109	2683109	10K(304.2071), 15K(304.2071), 17K(304.2071), 1C(57.0214), 6C(57.0214), 8K(304.2071), N-term(304.2071)			730274.1758	2636.9370	3806.7917	10.0061	2.1684	0.0000	0.0000	88.0421	6.6374	130.0660	35.4007	45.4591	56.7240	873.8252	91.1993	49.5084
sp|P61225|RAP2B_HUMAN	P61225	RAP2B_HUMAN	RAP2B	183	Homo sapiens OX=9606	Ras-related protein Rap-2b 	1:Experimental evidence at protein level	1.0000	0.9990	1	0	1	1	0	1	640505	     0	640505	N-term(304.2071)			64113.6211	254.2796	364.6870	1.1444	0.2910	0.0000	0.0000	8.3713	1.6334	9.6139	2.9815	2.7085	5.3887	77.9906	6.2306	4.2515
sp|P61247|RS3A_HUMAN	P61247	RS3A_HUMAN	RPS3A	264	Homo sapiens OX=9606	40S ribosomal protein S3a 	1:Experimental evidence at protein level	1.0000	0.9990	12	12	12	15	15	15	18990534	18990534	18990534	2C(57.0214), 3C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), 9M(15.9949), N-term(304.2071)			4327282.8740	14533.4173	8518.3244	23.9009	2.7335	0.1338	0.0000	464.5399	32.6837	497.9155	182.8842	213.3333	295.6310	5329.4246	556.2937	192.5477
sp|P61254|RL26_HUMAN	P61254	RL26_HUMAN	RPL26	145	Homo sapiens OX=9606	60S ribosomal protein L26 	1:Experimental evidence at protein level	1.0000	0.9990	3	0	3	4	0	4	5789214	     0	5789214	2M(15.9949), 8K(304.2071), N-term(304.2071)			1060772.6953	3852.1707	1480.9076	5.9672	1.4764	0.0612	0.0616	106.0328	8.3532	117.1690	44.7817	58.3442	51.9337	964.8254	106.4963	42.6509
sp|P61289|PSME3_HUMAN	P61289	PSME3_HUMAN	PSME3	254	Homo sapiens OX=9606	Proteasome activator complex subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	290256	     0	290256	9K(304.2071), N-term(304.2071)			158433.6016	551.2020	585.9006	0.6546	0.0000	0.0000	0.0000	23.4165	7.3649	38.0815	20.9592	22.0491	26.1608	289.2059	40.5514	32.8368
sp|P61313|RL15_HUMAN	P61313	RL15_HUMAN	RPL15	204	Homo sapiens OX=9606	60S ribosomal protein L15 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	9	9	19992302	19992302	19992302	10K(304.2071), 12K(304.2071), 14K(304.2071), 9K(304.2071), N-term(304.2071)			5552931.7812	17871.9706	12844.6724	33.3775	3.8094	0.2707	0.0973	732.3419	44.8426	505.8471	276.8659	258.4973	296.5462	4531.5240	443.2830	178.6388
sp|P61326|MGN_HUMAN	P61326	MGN_HUMAN	MAGOH	146	Homo sapiens OX=9606	Protein mago nashi homolog 	1:Experimental evidence at protein level	1.0000	0.9990	2	0	2	2	0	2	1330724	     0	1330724	15K(304.2071), 9K(304.2071), N-term(304.2071)		sp|Q96A72|MGN2_HUMAN	281652.3359	969.6547	993.8968	2.1725	0.0000	0.0000	0.0000	12.9741	0.8956	21.3129	0.0000	2.6697	10.5720	144.3795	15.7854	9.2441
sp|P61353|RL27_HUMAN	P61353	RL27_HUMAN	RPL27	136	Homo sapiens OX=9606	60S ribosomal protein L27 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	26263286	26263286	26263286	8M(15.9949), 9K(304.2071), N-term(304.2071)			3075887.8281	10913.2829	7925.4807	23.7077	3.7023	0.0000	0.0322	151.9210	12.1213	156.7292	56.4176	82.4438	79.9579	1461.2741	152.5489	64.2231
sp|P61421|VA0D1_HUMAN	P61421	VA0D1_HUMAN	ATP6V0D1	351	Homo sapiens OX=9606	V-type proton ATPase subunit d 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	2969990	2969990	2969990	13K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			621859.6328	2263.4386	2675.7495	8.3242	1.2201	0.0000	0.0000	42.4192	7.1891	64.3496	14.6910	29.7332	31.4064	482.5186	48.7568	25.3244
sp|P61513|RL37A_HUMAN	P61513	RL37A_HUMAN	RPL37A	92	Homo sapiens OX=9606	60S ribosomal protein L37a 	1:Experimental evidence at protein level	1.0000	0.9990	2	1	2	2	1	2	4942443	2883981	4942443	18K(304.2071), 3C(57.0214), 6C(57.0214), 8K(304.2071), N-term(304.2071)			438016.6328	1533.5710	1375.6023	3.3755	0.4835	0.0000	0.0597	25.7175	2.4730	20.9332	8.3047	8.9211	12.7927	214.8745	27.0704	6.6958
sp|P61586|RHOA_HUMAN	P61586	RHOA_HUMAN	RHOA	193	Homo sapiens OX=9606	Transforming protein RhoA 	1:Experimental evidence at protein level	1.0000	0.9990	5	1	5	5	1	5	8212952	425303	8212952	11K(304.2071), 14K(304.2071), 24K(304.2071), 2C(57.0214), 3C(57.0214), 9C(57.0214), 9K(304.2071), N-term(304.2071)			636580.5977	2268.5178	3267.7068	9.2331	1.5410	0.0000	0.0000	51.7599	1.9082	67.1003	13.2341	27.5153	37.5098	498.0811	38.3939	40.3452
sp|P61604|CH10_HUMAN	P61604	CH10_HUMAN	HSPE1	102	Homo sapiens OX=9606	10 kDa heat shock protein, mitochondrial 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	17003432	17003432	17003432	10K(304.2071), 4M(15.9949), 8K(304.2071), N-term(304.2071)			1545702.1875	5212.2381	3644.0969	14.6193	1.6057	0.0000	0.0000	138.4984	15.4099	134.7690	40.5327	38.0386	73.1028	864.2379	69.1559	50.2781
sp|P61619|S61A1_HUMAN	P61619	S61A1_HUMAN	SEC61A1	476	Homo sapiens OX=9606	Protein transport protein Sec61 subunit alpha isoform 1 	1:Experimental evidence at protein level	1.0000	0.9990	3	2	3	3	2	3	1653730	810709	1653730	9K(304.2071), N-term(304.2071)			273701.0986	917.1187	714.4141	1.6383	0.4728	0.0000	0.0000	104.0994	4.8300	51.0493	29.5744	25.8888	32.7398	701.7895	37.7873	22.2052
sp|P61758|PFD3_HUMAN	P61758	PFD3_HUMAN	VBP1	197	Homo sapiens OX=9606	Prefoldin subunit 3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	1253283	1253283	1253283	10K(304.2071), 9C(57.0214), N-term(304.2071)			197119.6133	553.7199	647.3687	1.1655	0.0000	0.0000	0.0000	18.5367	0.0000	26.2637	11.5838	9.3242	19.1538	171.8256	20.2029	7.4729
sp|P61764|STXB1_HUMAN	P61764	STXB1_HUMAN	STXBP1	594	Homo sapiens OX=9606	Syntaxin-binding protein 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	471771	471771	471771	13K(304.2071), 16K(304.2071), 9C(57.0214), N-term(304.2071)			108099.7188	358.5253	555.8364	1.0100	0.2348	0.0000	0.0000	12.0037	0.8113	23.5723	3.7272	5.1970	8.5258	117.4175	15.3744	6.0078
sp|P61803|DAD1_HUMAN	P61803	DAD1_HUMAN	DAD1	113	Homo sapiens OX=9606	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	936452	936452	936452	N-term(304.2071)			224868.9453	795.1632	650.0645	2.2368	0.8020	0.0000	0.0000	43.3121	6.3236	32.6689	15.3426	13.7147	18.9380	299.6027	29.2773	13.7943
sp|P61923|COPZ1_HUMAN	P61923	COPZ1_HUMAN	COPZ1	177	Homo sapiens OX=9606	Coatomer subunit zeta-1 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	256769	256769	256769	23K(304.2071), N-term(304.2071)			52381.2695	159.0368	205.8900	0.7632	0.0000	0.0000	0.0000	8.7806	0.9565	16.3236	2.0171	9.3567	8.0796	75.2651	13.8509	5.5836
sp|P61927|RL37_HUMAN	P61927	RL37_HUMAN	RPL37	97	Homo sapiens OX=9606	60S ribosomal protein L37 	1:Experimental evidence at protein level	1.0000	0.9989	2	2	2	2	2	2	1234588	1234588	1234588	7K(304.2071), N-term(304.2071)			287772.0039	545.7663	424.8545	2.0231	0.0000	0.0000	0.0000	101.8955	7.1647	149.0295	38.1440	54.5965	74.7654	1472.6552	136.1898	62.7427
sp|P61960|UFM1_HUMAN	P61960	UFM1_HUMAN	UFM1	85	Homo sapiens OX=9606	Ubiquitin-fold modifier 1 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	1462669	1462669	1462669	15K(304.2071), N-term(304.2071)			232011.4688	719.2610	1027.4567	2.4791	0.7110	0.0000	0.0000	29.3191	1.1427	21.2913	13.2714	9.6001	12.6808	229.5454	21.3735	13.5321
sp|P61964|WDR5_HUMAN	P61964	WDR5_HUMAN	WDR5	334	Homo sapiens OX=9606	WD repeat-containing protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	113667	113667	113667	22K(304.2071), N-term(304.2071)			17738.7637	42.5755	90.5329	0.0000	0.0000	0.0446	0.0000	2.4632	0.0000	3.4708	2.0846	1.6130	0.0000	27.4668	4.0346	2.8188
sp|P61970|NTF2_HUMAN	P61970	NTF2_HUMAN	NUTF2	127	Homo sapiens OX=9606	Nuclear transport factor 2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	2327850	2327850	2327850	12C(57.0214), 23K(304.2071), 8K(304.2071), N-term(304.2071)			321419.7139	1110.9503	1066.9354	2.7708	0.0000	0.0000	0.0000	9.7057	0.0000	17.7249	3.3576	8.5606	9.2716	168.1871	7.5072	6.8837
sp|P61978|HNRPK_HUMAN	P61978	HNRPK_HUMAN	HNRNPK	463	Homo sapiens OX=9606	Heterogeneous nuclear ribonucleoprotein K 	1:Experimental evidence at protein level	1.0000	0.9990	15	15	15	16	16	16	29459676	29459676	29459676	12K(304.2071), 16K(304.2071), 19K(304.2071), 23K(304.2071), 5C(57.0214), 5M(15.9949), 6C(57.0214), 7K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			5392530.5361	17581.8217	14356.6470	40.5143	2.6485	0.0515	0.0000	294.0029	15.7180	625.3938	127.4241	154.6944	262.4832	3804.2716	358.9418	162.7361
sp|P61981|1433G_HUMAN	P61981	1433G_HUMAN	YWHAG	247	Homo sapiens OX=9606	14-3-3 protein gamma 	1:Experimental evidence at protein level	1.0000	0.9990	10	9	10	11	10	11	65854148	13215955	20644744	10K(304.2071), 19K(304.2071), 2C(57.0214), 3M(15.9949), 6C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)			2405258.9390	9525.6887	7543.7347	22.8678	1.5752	0.0534	0.0000	233.6248	15.6076	307.7976	86.1598	122.4064	169.9823	3134.3159	230.3666	96.2584
sp|P62081|RS7_HUMAN	P62081	RS7_HUMAN	RPS7	194	Homo sapiens OX=9606	40S ribosomal protein S7 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	9	9	9	19406348	19406348	19406348	12K(304.2071), 22K(304.2071), 9K(304.2071), N-term(304.2071)			1975094.7500	6689.3989	4743.8420	11.1735	0.6865	0.0000	0.0000	272.1578	15.9306	264.3624	103.7183	132.2029	152.9202	2295.2384	254.4903	116.4829
sp|P62136|PP1A_HUMAN	P62136	PP1A_HUMAN	PPP1CA	330	Homo sapiens OX=9606	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	13	2	13	13	2	13	7022379	1589638	7022379	13K(304.2071), 14K(304.2071), 17K(304.2071), 18K(304.2071), 2C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214), 9K(304.2071), N-term(304.2071)			2064784.6016	7307.9207	9983.4548	23.8713	4.8633	0.0000	0.0000	202.7254	15.6143	262.2385	72.8708	84.8121	141.9806	1777.3528	157.7422	102.1619
sp|P62140|PP1B_HUMAN	P62140	PP1B_HUMAN	PPP1CB	327	Homo sapiens OX=9606	Serine/threonine-protein phosphatase PP1-beta catalytic subunit 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	6603746	1855224	1855224	2C(57.0214), N-term(304.2071)			405553.8984	1459.1375	1744.3757	6.3463	1.7556	0.0000	0.0000	25.4927	2.2336	48.6491	9.4289	12.6812	23.7461	492.1143	27.4918	10.5107
sp|P62191|PRS4_HUMAN	P62191	PRS4_HUMAN	PSMC1	440	Homo sapiens OX=9606	26S proteasome regulatory subunit 4 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	3690151	3690151	3690151	12K(304.2071), 14K(304.2071), 1K(304.2071), 21K(304.2071), 7C(57.0214), 7K(304.2071), 9K(304.2071), N-term(304.2071)			1674752.4766	5805.2950	5636.8249	16.4625	2.7278	0.0000	0.0000	82.7937	3.6596	131.6132	33.2665	51.3300	55.2757	1249.5379	86.7990	53.7416
sp|P62195|PRS8_HUMAN	P62195	PRS8_HUMAN	PSMC5	406	Homo sapiens OX=9606	26S proteasome regulatory subunit 8 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	4201902	4201902	4201902	11K(304.2071), 14K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			847353.6250	3140.4772	3509.0577	11.3256	1.5132	0.0000	0.0000	48.0164	6.7199	100.5433	24.8362	37.8100	54.4015	721.7498	77.4876	46.0443
sp|P62241|RS8_HUMAN	P62241	RS8_HUMAN	RPS8	208	Homo sapiens OX=9606	40S ribosomal protein S8 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	9	9	24158112	24158112	24158112	11K(304.2071), 12C(57.0214), 13C(57.0214), 13K(304.2071), 2C(57.0214), 4C(57.0214), 9K(304.2071), N-term(304.2071)			4648368.2188	16510.9774	13805.8242	40.4505	5.8677	0.2332	0.0415	159.2417	19.2170	199.7283	84.2834	112.7912	141.9464	1890.4754	220.4186	82.2693
sp|P62244|RS15A_HUMAN	P62244	RS15A_HUMAN	RPS15A	130	Homo sapiens OX=9606	40S ribosomal protein S15a 	1:Experimental evidence at protein level	1.0000	0.9990	5	4	5	5	4	5	11805560	11805560	11805560	1C(57.0214), 7K(304.2071), N-term(304.2071)			1839171.7188	6086.5842	2420.4120	5.8046	1.8221	0.1461	0.0487	243.0457	11.7988	188.3472	78.5454	90.5539	115.8920	1734.0617	152.3916	71.9835
sp|P62249|RS16_HUMAN	P62249	RS16_HUMAN	RPS16	146	Homo sapiens OX=9606	40S ribosomal protein S16 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	8	8	8	13595718	13595718	13595718	10K(304.2071), 7K(304.2071), 8K(304.2071), N-term(304.2071)			2051401.9844	6767.7183	5261.3595	17.4747	2.1562	0.0000	0.0481	340.4622	17.9251	290.0510	127.4622	151.4123	175.2252	3022.8161	297.8087	102.7390
sp|P62258|1433E_HUMAN	P62258	1433E_HUMAN	YWHAE	255	Homo sapiens OX=9606	14-3-3 protein epsilon 	1:Experimental evidence at protein level	1.0000	0.9990	14	11	14	17	12	17	73725820	32356652	73725820	10M(15.9949), 11K(304.2071), 12K(304.2071), 19K(304.2071), 2M(15.9949), 3C(57.0214), 4C(57.0214), 4M(15.9949), 6M(15.9949), 7M(15.9949), 8K(304.2071), N-term(304.2071)			8108679.8945	24807.9902	18075.2117	51.1317	4.6302	0.1462	0.0000	876.1378	26.6883	1034.0219	359.7483	332.6147	618.4210	9414.7268	524.4594	284.6092
sp|P62263|RS14_HUMAN	P62263	RS14_HUMAN	RPS14	151	Homo sapiens OX=9606	40S ribosomal protein S14 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	18247606	18247606	18247606	10K(304.2071), 12M(15.9949), N-term(304.2071)			1225075.9980	4163.0772	2306.9532	5.9811	0.0000	0.0000	0.0000	110.9304	6.0082	100.1791	39.9293	60.6405	58.0649	1086.9364	94.8636	39.7009
sp|P62266|RS23_HUMAN	P62266	RS23_HUMAN	RPS23	143	Homo sapiens OX=9606	40S ribosomal protein S23 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	17045632	17045632	17045632	10C(57.0214), 11K(304.2071), 8K(304.2071), N-term(304.2071)			1835933.5234	6287.6648	4954.1383	13.2783	1.1164	0.0710	0.0000	103.8157	9.2661	151.4268	39.2654	65.1159	87.3552	1513.2581	149.3182	69.1744
sp|P62269|RS18_HUMAN	P62269	RS18_HUMAN	RPS18	152	Homo sapiens OX=9606	40S ribosomal protein S18 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	10	10	10	14533184	14533184	14533184	12K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)			3531633.8594	11936.9619	7645.7435	23.7877	2.1590	0.2721	0.0944	289.3612	15.5139	325.5750	136.3330	151.3560	169.3243	3365.8002	288.7840	122.4098
sp|P62277|RS13_HUMAN	P62277	RS13_HUMAN	RPS13	151	Homo sapiens OX=9606	40S ribosomal protein S13 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	7	6	7	21408192	21408192	21408192	7K(304.2071), N-term(304.2071)			2913154.1255	9367.4802	3826.2538	10.1178	1.3580	0.2205	0.0429	610.4241	37.2136	426.0737	827.1119	249.6584	263.4443	3456.9751	437.5707	182.3601
sp|P62280|RS11_HUMAN	P62280	RS11_HUMAN	RPS11	158	Homo sapiens OX=9606	40S ribosomal protein S11 	1:Experimental evidence at protein level	1.0000	0.9990	9	9	9	9	9	9	17150132	17150132	17150132	10K(304.2071), 13C(57.0214), 18K(304.2071), 1C(57.0214), 1K(304.2071), 2C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071), N-term(42.0106)			4896856.2070	15954.9980	9958.3110	27.2527	2.8165	0.0671	0.0000	164.2278	15.2019	284.2659	58.6964	97.2663	154.7287	3088.2871	321.6349	89.2668
sp|P62304|RUXE_HUMAN	P62304	RUXE_HUMAN	SNRPE	92	Homo sapiens OX=9606	Small nuclear ribonucleoprotein E 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	3482454	3482454	3482454	N-term(304.2071)			138972.7344	650.5517	833.3027	3.1985	0.5657	0.0000	0.0000	15.7357	1.8941	20.9183	7.9872	8.1105	11.2671	78.2198	12.6575	12.7938
sp|P62310|LSM3_HUMAN	P62310	LSM3_HUMAN	LSM3	102	Homo sapiens OX=9606	U6 snRNA-associated Sm-like protein LSm3 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	1210738	1210738	1210738	N-term(304.2071), N-term(42.0106)			228416.0039	819.8527	816.6263	2.2191	0.5259	0.0000	0.0304	33.5388	4.1060	38.7545	19.6229	17.5206	24.6293	225.6607	25.1005	19.2950
sp|P62312|LSM6_HUMAN	P62312	LSM6_HUMAN	LSM6	80	Homo sapiens OX=9606	U6 snRNA-associated Sm-like protein LSm6 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	2183973	2183973	2183973	10K(304.2071), 11K(304.2071), N-term(304.2071)			778611.5234	2910.5187	3517.7103	10.6709	2.6117	0.0000	0.0708	96.7731	12.3518	154.1549	39.4908	42.8247	69.7751	1312.9961	66.7488	51.3970
sp|P62314|SMD1_HUMAN	P62314	SMD1_HUMAN	SNRPD1	119	Homo sapiens OX=9606	Small nuclear ribonucleoprotein Sm D1 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	5	5	5	422709706	422709706	422709706	11K(304.2071), 20K(304.2071), N-term(304.2071)			623612.3740	2738.0387	2937.9846	10.5182	1.3668	0.0597	0.0000	40.3908	6.9605	68.6295	20.3701	26.8404	44.5851	425.3883	44.6897	31.6345
sp|P62316|SMD2_HUMAN	P62316	SMD2_HUMAN	SNRPD2	118	Homo sapiens OX=9606	Small nuclear ribonucleoprotein Sm D2 	1:Experimental evidence at protein level	1.0000	0.9990	2	2	2	2	2	2	4492826	4492826	4492826	9C(57.0214), N-term(304.2071)			645275.5938	2602.7880	1015.4005	1.8314	0.7500	0.0000	0.0000	70.3239	9.4844	108.4797	37.0437	35.5460	53.3741	443.1297	43.4862	35.6667
sp|P62318|SMD3_HUMAN	P62318	SMD3_HUMAN	SNRPD3	126	Homo sapiens OX=9606	Small nuclear ribonucleoprotein Sm D3 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	3	3	3	2496728	2496728	2496728	12C(57.0214), 7M(15.9949), 9K(304.2071), N-term(304.2071)			457291.5000	1972.7827	1571.2645	6.2548	1.5344	0.0814	0.0320	24.3565	3.3227	55.9225	11.7600	19.3167	33.5196	312.5245	32.9871	23.0879
sp|P62330|ARF6_HUMAN	P62330	ARF6_HUMAN	ARF6	175	Homo sapiens OX=9606	ADP-ribosylation factor 6 	1:Experimental evidence at protein level	1.0000	0.9990	1	1	1	1	1	1	410586	410586	410586	21K(304.2071), N-term(304.2071)			35902.1914	120.9406	158.1592	0.0000	0.0000	0.0000	0.0000	0.0000	1.1043	6.5996	0.0000	0.0000	0.0000	28.6042	5.8710	2.9352
sp|P62333|PRS10_HUMAN	P62333	PRS10_HUMAN	PSMC6	389	Homo sapiens OX=9606	26S proteasome regulatory subunit 10B 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	3020589	3020589	3020589	11K(304.2071), 8K(304.2071), 9K(304.2071), N-term(304.2071)			1200262.1953	4231.5334	4750.5216	15.0907	2.9595	0.0587	0.0388	180.4789	9.9907	170.8966	54.7541	55.5527	72.9751	1050.3994	104.1160	57.0705
sp|P62424|RL7A_HUMAN	P62424	RL7A_HUMAN	RPL7A	266	Homo sapiens OX=9606	60S ribosomal protein L7a 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	10	10	10	18091483	18091483	18091483	10K(304.2071), 11K(304.2071), 23C(57.0214), 8K(304.2071), 9K(304.2071), N-term(304.2071)			3330750.3369	10983.8746	6363.9618	19.2147	1.4459	0.0000	0.0000	90.9699	9.2603	235.1388	43.3071	91.0960	121.7701	2511.6509	266.1077	68.4722
sp|P62495|ERF1_HUMAN	P62495	ERF1_HUMAN	ETF1	437	Homo sapiens OX=9606	Eukaryotic peptide chain release factor subunit 1 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	10	10	10	5243210	5243210	5243210	10K(304.2071), 11K(304.2071), 15K(304.2071), 27K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)			1309693.8486	4711.0402	4821.2391	12.8803	0.8243	0.0000	0.0000	138.4477	13.0843	160.9924	69.2666	67.2403	91.1662	1351.0007	127.4728	62.6702
sp|P62633|CNBP_HUMAN	P62633	CNBP_HUMAN	CNBP	177	Homo sapiens OX=9606	CCHC-type zinc finger nucleic acid binding protein 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	8	8	8	6679073	6679073	6679073	11C(57.0214), 12C(57.0214), 12K(304.2071), 13C(57.0214), 13K(304.2071), 1C(57.0214), 2C(57.0214), 3C(57.0214), 4C(57.0214), 5C(57.0214), 6C(57.0214), 7C(57.0214), 7K(304.2071), 9C(57.0214), 9K(304.2071), N-term(304.2071), N-term(42.0106)			1171043.1758	4343.1683	4472.5420	14.4845	2.0374	0.0000	0.0000	94.9412	3.8669	156.5066	44.6509	55.6623	78.5770	1235.0313	124.2032	48.9633
sp|P62701|RS4X_HUMAN	P62701	RS4X_HUMAN	RPS4X	263	Homo sapiens OX=9606	40S ribosomal protein S4, X isoform 	1:Experimental evidence at protein level	1.0000	0.9990	13	6	13	16	6	16	16552585	14658232	16552585	10M(15.9949), 11K(304.2071), 17K(304.2071), 2C(57.0214), 4C(57.0214), 7C(57.0214), 7K(304.2071), 8M(15.9949), 9K(304.2071), N-term(304.2071)			5713899.1367	19092.0870	9895.2806	37.5705	5.7782	0.2811	0.0400	491.6782	27.0894	506.8425	185.4181	261.5528	279.6544	5046.0031	483.7037	187.2325
sp|P62736|ACTA_HUMAN	P62736	ACTA_HUMAN	ACTA2	377	Homo sapiens OX=9606	Actin, aortic smooth muscle 	1:Experimental evidence at protein level	1.0000	0.9990	8	0	8	10	0	10	387977120	     0	33501854	12M(15.9949), 14M(15.9949), 16K(304.2071), 18K(304.2071), 1M(15.9949), 23K(304.2071), 29M(15.9949), 2C(57.0214), N-term(304.2071)			2066920.6656	7596.6511	6219.0299	25.9519	2.1299	0.1188	0.0000	412.0132	8.7032	63.7712	122.0154	31.9669	58.5002	1370.7754	44.9923	68.2718
sp|P62750|RL23A_HUMAN	P62750	RL23A_HUMAN	RPL23A	156	Homo sapiens OX=9606	60S ribosomal protein L23a 	1:Experimental evidence at protein level	1.0000	0.9990	8	8	8	8	8	8	27097220	27097220	27097220	10K(304.2071), 11K(304.2071), 13K(304.2071), 14K(304.2071), 15K(304.2071), 1K(304.2071), 7K(304.2071), 8K(304.2071), 9M(15.9949), N-term(304.2071)			4526990.0391	14565.2807	12356.5023	37.5869	3.6972	0.0714	0.0000	112.2756	17.4256	269.7866	44.7486	83.2646	127.8489	2853.4649	354.1945	103.4391
sp|P62753|RS6_HUMAN	P62753	RS6_HUMAN	RPS6	249	Homo sapiens OX=9606	40S ribosomal protein S6 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	7	7	7	16145375	16145375	16145375	10C(57.0214), 12K(304.2071), 7K(304.2071), 9K(304.2071), N-term(304.2071)			2667524.1924	7872.5529	7858.0871	20.7244	3.2202	0.3562	0.0573	317.2986	37.4007	374.8230	121.6261	196.0798	249.6505	3499.5526	425.6013	157.8576
sp|P62805|H4_HUMAN	P62805	H4_HUMAN	H4C1	103	Homo sapiens OX=9606	Histone H4 	1:Experimental evidence at protein level	1.0000	0.9990	6	5	6	11	9	11	30951768	30951768	30951768	10K(304.2071), 12K(304.2071), 5M(15.9949), 8K(304.2071), N-term(304.2071)			2956435.2520	9791.1546	7703.6275	24.6935	3.7858	0.4266	0.3834	1000.6554	633.8844	4793.2216	808.9531	924.1919	1844.3281	14295.5153	2773.3876	1254.8766
sp|P62820|RAB1A_HUMAN	P62820	RAB1A_HUMAN	RAB1A	205	Homo sapiens OX=9606	Ras-related protein Rab-1A 	1:Experimental evidence at protein level	1.0000	0.9990	7	1	7	8	1	8	13052458	1195809	13052458	11K(304.2071), 16K(304.2071), 19K(304.2071), 8K(304.2071), N-term(304.2071)			2473017.0391	7898.0322	5862.6109	14.2501	1.3254	0.0864	0.0000	257.9451	23.8374	241.3285	104.2540	118.7822	142.0326	2248.5254	184.3202	81.9160
sp|P62826|RAN_HUMAN	P62826	RAN_HUMAN	RAN	216	Homo sapiens OX=9606	GTP-binding nuclear protein Ran 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	11	11	11	56603872	56603872	56603872	10C(57.0214), 10K(304.2071), 11K(304.2071), 13K(304.2071), 2C(57.0214), 7K(304.2071), 8K(304.2071), N-term(304.2071), N-term(42.0106)			4405311.5234	15985.8562	10606.6756	30.0951	1.5761	0.1313	0.0000	162.4408	13.6739	362.2184	79.2828	116.8138	179.9516	2064.9375	255.4823	112.6288
